name,id,display_name,title,description,type,state,approval_status,do_website,do_email,do_address,do_tel,created,is_organization,revision_id,package_count
agentschap-voor-maritieme-dienstverlening-en-kust,d94bddd0-dea0-4742-8857-1d20b2526b0a,agentschap voor Maritieme Dienstverlening en Kust,agentschap voor Maritieme Dienstverlening en Kust,"",organization,active,approved,https://www.agentschapmdk.be/,stafmdk@mow.vlaanderen.be,"Koning Albert II-laan 20, 1000 Brussel",+3225537727,2020-06-04T07:11:04.102447,TRUE,7a0cce2f-fad1-449c-a549-07f66e89cfa5,1
agentschap-wegen-en-verkeer,79689f1a-5310-4a12-aea7-7af15235e4b9,Agentschap Wegen en Verkeer,Agentschap Wegen en Verkeer,Agency for Roads and Traffic,organization,active,approved,http://wegenenverkeer.be/,wegen.verkeer@mow.vlaanderen.be,"Koning Albert II-Laan 20 bus 4, 1000 Brussel",+3225537901,2019-12-12T09:25:45.282487,TRUE,1f85e471-4f70-4da1-9570-ba984bcebc00,6
antwerp-tax-n-v,fbd2d15f-53a9-4b81-9095-0d2729f1bde0,Antwerp-Tax N.V.,Antwerp-Tax N.V.,"Taxi, minibus, limo service and cermony cars
More than 280 well-trained drivers and stylish employees make every effort every day to make your transfer comfortable and safe.
365 days a year, 24 hours a day.",organization,active,approved,http://antwerp-tax.be,info@antwerp-tax.be,"Karel oomsstraat 14, 2018 Antwerpen",+3232383838,2021-05-25T14:26:05.171978,TRUE,7ed7954e-ad5e-46de-8a70-3471ba72883e,0
autodelen-net,cd6b8fc8-53b6-4e64-8b9d-def8c7d23055,Autodelen.net,Autodelen.net,"",organization,active,approved,https://www.autodelen.net/,info@autodelen.net,"Maria Hendrikaplein, 9000 Gent",+3292423275,2020-03-06T08:07:36.884214,TRUE,25da85c0-09af-416b-87d6-5a8e21e194ef,0
automotorsshare,133d3851-963f-4b5a-8b5a-a3e367eb6ac4,AutoMotorsShare,AutoMotorsShare,"Need a vehicle at any time of the day or night? An activity at the last minute and you haven't yet found the appropriate means of transport? We have THE SOLUTION for you. There is no need to rent a car at the daily rate. From now on, thanks to our ""carsharing"" vehicles, you decide how much time you need. You only pay for the time you use the vehicle, including fuel and mileage.",organization,active,approved,http://www.automotorsshare.be,tony@autonymy.be,Chaussee de Bruxelles 26,+32477910424,2020-03-23T09:54:42.723250,TRUE,b917c780-c5c7-4b84-9597-a73868428f73,0
battmobility,9f8a927f-38ce-4d93-a0c2-56bd6b781313,BattMobility,BattMobility,BattMobility provides a elecric or hydrogen based vehicle for every personal transport need for individuals or companies,organization,active,approved,https://www.battmobility.be,chris@battmobiel.be,"Muinkkaai 53, 9000 Gent",+3292333444,2020-03-23T16:19:03.864172,TRUE,cce65814-feab-4154-bb1e-daddedf00ddf,2
belgian-its-steering-committee-comite-belge-de-pilotage-sti-belgisch-its-stuurgroep-belgischer-its-lenkungsausschuss,fc16f6dd-4007-4651-b3de-a235f8b058d3,Belgian ITS Steering Committee,Belgian ITS Steering Committee,"Directive 2010/40 / EU of the European Parliament and of the Council of 7 July 2010 defines the framework for the deployment of intelligent transport systems (ITS) in the field of road transport and of interfaces with other modes of transport .

This European Directive aims to support the coordinated deployment and use of ITS beyond the borders of the Member States. EU Member States must regularly inform the European Commission (EC) of the progress made in the deployment of the planned national actions in the field of ITS.

On July 15, 2014, the Belgian State, the Brussels-Capital Region, the Flemish Region and the Walloon Region signed a cooperation agreement which creates an ITS Steering Committee whose missions cover in particular:

•	Coordination and cooperation between the different Belgian entities for the preparation of reports to the EC;

•	Exchange of technical, legal and legislative information;

•	The representation of Belgium in international fora on the basis of a common position;

•	The participation of Belgian experts in the preparation of EC ITS delegated acts.

The missions of the ITS Steering Committee can be extended.

The Steering Committee established internal regulations. Each entity is represented on the ITS Steering Committee by a maximum of four ordinary members, one of whom is a voting member. The secretariat is provided by the FPS Mobility and Transport. The Committee is chaired by an elected president. The Committee creates and supervises different expert working groups as required.",organization,active,approved,https://mobilit.belgium.be/nl/mobiliteit/intelligente_vervoersystemen/its_stuurgroep   https://mobilit.belgium.be/fr/mobilite/systemes_de_transports_intelligents/comite_de_pilotage_its,its@mobilit.fgov.be,"Rue du Progrès 56, 1210 Bruxelles / Vooruitgangstraat 56, 1210 Brussel",+3222773179,2020-01-21T09:10:08.536563,TRUE,f979440a-b95c-4649-8b48-c05a5b8f61a5,0
bird,60d2bbf6-1dd9-49d5-b1f9-34977812e683,Bird,Bird,Shared e-scooters in Antwerp and Brussels,organization,active,approved,http://www.bird.co,jdeboer@bird.co,"Taxandriastraat 33, 2170 Merksem",+31652334030,2021-01-07T14:31:18.087889,TRUE,cd53121d-4591-4daf-8d30-c7f31c0aa2db,1
blue-bike,c06c738f-1866-4101-98d0-1aee9ee75870,Blue-bike,Blue-bike,"Blue-bike, a national bike share scheme - 

The bike sharing project “Blue-bike” was founded mid 2011 by the former NMBS-holding and FIETS&WERK, to put combined transport into practice. Blue-bike is a bike share scheme with bikes on mobihubs spread across Belgium, with now more than 65 Blue-bike locations. More info: www.blue-bike.be 

Blue-mobility (with shareholders De Lijn, FIETS&WERK en TEC) is responsible for the operational functioning and rent of Blue-bikes. Local bike points provide our bike maintenance. The Flemish government supports Blue-bike in partnership with local municipalities by discounting the standard fare (€1,15 instead of €3,15 per 24h). Ethias is a commercial partner who also provides bike assistance to Blue-bike members.  In 2019 Blue-bikes made a total of 276.000 Blue-bike rides with 20 000 member on 65 locations. 

A survey of 2013 and 2015, commissioned by De Lijn and done by IPSOS, and the European project BITIBI to which Blue-mobility contributed from 2015 to 2017 offered following insights: 93% of the Blue-bike members uses Blue-bike in combination with a train journey. 32% of the Blue-bike rides was not made before the arrival of Blue-bike, or were made by car (22%). ",organization,active,approved,https://www.blue-bike.be/,info@blue-bike.be,"Carnotsraat 39, 2060 Antwerpen",+3232067500,2020-03-19T15:07:32.388777,TRUE,b52534e2-b444-4118-9dc5-bf8e8165bd41,1
bolides,bfd174fb-fce6-42c3-a527-55c242ac108d,Bolides,Bolides,"",organization,active,approved,https://www.bolides.be,info@bolides.be,Mechelsesteenweg 271 2018 Antwerp,+3233694330,2020-11-30T19:48:51.385018,TRUE,6f722371-34da-4d75-8dfc-31c487e2b8a4,0
