ID,,Organisation,User type,Data supplier,Data,Regio,website,Description,geregistreerd,DA-stakeholder,,,,,
1,,Agendum,Consultancy,/,/,/,http://www.agendum.nl/,nu Parkius (ID 160),No (not neccesary),No,,,,,
2,d94bddd0-dea0-4742-8857-1d20b2526b0a,"Agentschap Maritieme Dienstverlening en Kust, DAB Vloot",Data supplier,Public transport,Maritime (incl. Ferry),Flanders TEN-T,https://www.agentschapmdk.be/index.htm,Lokale veerboten Vlaanderen,Yes,Yes,,,,,
3,,Agoria - werkgroep Smart mobility,Federation/network,/,/,/,https://www.agoria.be/nl/Smart-Mobility,werkgroep i.v.m. slimme mobiliteit,No (not neccesary),No,,,,,
4,,Air Antwerp,Data supplier,Organised transport - private,Air,Belgium - International,www.airantwerp.com,Air Antwerp is a Belgian airline that offers scheduled commuter flights. It is headquartered at Antwerp International Airport in Deurne,No,Yes,,,,,
5,,Air Belgium,Data supplier,Organised transport - private,Air,Belgium - International,https://www.airbelgium.com/,,No,Yes,,,,,
6,,Air Service Liege,Data supplier,Demand responsive transport - private,Air,Belgium - International,,Business aviation & klein onderdeel voor particulieren (empty leg flights),No (not neccesary),Yes,,,,,
7,,Albacars,Data supplier,Organised transport - private,/,Brussels,https://albacars.business.site/,Busbedrijf,No,Yes,,,,,
8,,Amigo Earth,Consultancy,/,/,/,https://www.amigo.earth/,Geo-consultancybureau,No (not neccesary),No,,,,,
9,,Antwerp Management School - Smart Mobility,Research,/,/,/,https://www.antwerpmanagementschool.be/,Research center mobility van Antwerp Mangagement School,No (not neccesary),No,,,,,
10,,Anyways,Consultancy,/,/,/,https://www.anyways.eu/,Consultancy gericht op de productie van alternatieve reistabellen,No (not neccesary),No,,,,,
11,,Arcadis,Consultancy,/,/,/,https://www.arcadis.com/,consultancy met mobiliteitsexperten,No (not neccesary),No,,,,,
12,,Athlon,Data supplier,Demand responsive transport - private,Car-hire,Flanders TEN-T,https://www.athlon.com/be/,leasingbedrijf en autoverhuur,No,Yes,,,,,
13,,AUTOBUSSEN CANNAERTS,Data supplier,Organised transport - private,Bus - long distance (scheduled),Belgium - International,https://autobussencannaerts.be/,Internationaal busbedrijf,No,Yes,,,,,
14,,AUTOCARS RAMI SPRL,Data supplier,Organised transport - private,Bus - long distance (scheduled),Belgium - International,,Internationaal busbedrijf,No,Yes,,,,,
15,cd6b8fc8-53b6-4e64-8b9d-def8c7d23055 ,Autodelen.net,Federation/network,/,/,/,www.autodelen.net,Autodelen.net is het verbindend netwerk van gedeelde mobiliteit.,Yes,No,,,,,
16,133d3851-963f-4b5a-8b5a-a3e367eb6ac4,AutoMotorsShare,Data supplier,Demand responsive transport - private,Carsharing,Wallonia TEN-T,http://www.automotorsrent.be,Carsharing,Yes,Yes,,,,,
17,,B2Bike,Data supplier B2B,Demand responsive transport - private,Bike/Step/Scooter sharing,Flanders TEN-T,https://www.b2bike.be/,Fietsverhuur voor bedrijven,No (not neccesary),No,,,,,
18,,BAAV,Federation/network,/,Bus - classic (scheduled),/,https://www.baav.be/,Beroepsvereniging autobus en autocar ondernemingen,No (not neccesary),No,,,,,
19,,BAM Belgium nv,Consultancy,/,/,/,http://www.bambelgium.be/,Afdeling Smart City & Mobility at BAM Belgium nv,No (not neccesary),No,,,,,
20,,Barco,Other…,/,/,/,https://www.barco.com,"Barco designs, manufactures and markets innovative hard- and software for operational decision-making in control rooms. With Barco’s networked video walls, operators are always in control as key information from sensors, cameras and other data sources is displayed in real-time. By combining and sharing information on- screen, operators get a deeper understanding and a clearer view of the situation they have to respond to. Throughout the world’s major economic regions, Barco’s visualization technology is indispensable to traffic and security centers. In and around cities such as New York, Oslo, Vienna, Washington D.C. and Hamburg, Barco display technology helps operators to better control traffic flows, respond quickly to crisis situations, and keep public transportation passengers well-informed. In this way, Barco helps over 2.5 billion commuters start and end their working days as efficiently as possible.  ",No (not neccesary),No,,,,,
21,9f8a927f-38ce-4d93-a0c2-56bd6b781313 ,BattMobility,Data supplier,Demand responsive transport - private,Carsharing,Flanders TEN-T,www.BattMobiel.be,Electrisch autodelen in Vlaanderen,Yes,Yes,,,,,
22,,Beci,Other…,/,/,Brussels ,https://www.beci.be,De Kamer van Koophandel Brussel,No (not neccesary),No,,,,,
23,,Be-Mobile,Consultancy,/,/,/,http://www.be-mobile.com ,"Be-Mobile offers a wide array of smart mobility solutions to help public authorities, road operators and private companies improve daily mobility for travelers.",No (not neccesary),Yes,,,,,
24,,BikeToWork,Federation/network,/,/,/,https://www.biketowork.be,"Afdeling/App van de fietsersbond, gericht op de promotie van fiets pendelverkeer",No (not neccesary),No,,,,,
25,,Billy,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Brussels ,https://www.billy.bike/,Deelfietsen (Brussel),No,Yes,,,,,
26,60d2bbf6-1dd9-49d5-b1f9-34977812e683 ,Bird,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Belgium - International,https://www.bird.co,Stepdelen Brussel en Antwerpen,Yes,Yes,,,,,
27,,blablacar,Data supplier,Demand responsive transport - private,carpooling,Belgium - International,https://www.blablacar.be/,long-distance carpooling platform,No,Yes,,,,,
28,c06c738f-1866-4101-98d0-1aee9ee75870 ,Blue-Mobility/Blue-Bike,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Flanders Local,www.blue-bike.be,Blue-mobility nv organiseert de Blue-bike deelfietsen ,Yes,Yes,,,,,
29,bfd174fb-fce6-42c3-a527-55c242ac108d,Bolides,Data supplier B2B,Demand responsive transport - private,Car-hire,Flanders TEN-T,https://bolides.be/,Nu wizkey en flexyfleet,Yes,No,,,,,
30,284c480c-b759-4ed5-970c-67cd704daab0 ,Bolt,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Belgium - International,https://bolt.eu,elektrische deelsteps en ridehailing diensten in Brussel en nadien uitbreiding,No,Yes,,,,,
31,,Brulocalis,Federation/network,/,/,/,https://www.brulocalis.brussels,Association of the City and the Municipalities of the Brussels-Capital Region. Lokale Nieuwsbrief,No (not neccesary),No,,,,,
32,ed47455b-9fb0-44eb-8cf8-d084ae8bf320 ,Brussels Airlines,Data supplier,Organised transport - private,Air,Belgium - International,https://www.brusselsairlines.com,Brussels Airlines is de nationale luchtvaartmaatschappij van België en verbindt de Europese hoofdstad met meer dan 120 bestemmingen,Yes,Yes,,,,,
33,,Brussels Airport,Data supplier,Organised transport - private,Air,Belgium - International,https://www.brusselsairport.be,"National airport, and also intermodal hub",No,Yes,,,,,
34,1c24bea0-4c07-477c-9162-52efc6cb672c ,Brussels Mobility,Data supplier,Transport authority,"Location (streets, adresses, etc)",Brussels ,https://mobilite-mobiliteit.brussels/en,Brussels mobility - lid van de PSA MMTIS werkgroep,Yes,Yes,,,,,
35,,BV-OECO,Consultancy,/,/,/,https://www.oeco.be/nl/node/1,Studiebureau mobiliteit dat in de green deal zit en beleidsadvies geeft,No (not neccesary),No,,,,,
